name,id
Red Clay (Official Motion Picture Soundtrack),7AzI6QadypH58VqkyUEEzm
Life Is Beautiful (Chopped Not Slopped),6KMUsieKkBXNiK1Rb2XUat
Life Is Beautiful (Deluxe),2eKy2HAQ2J3WY4Q4rVCha2
Life Is Beautiful,7KldyyeQxbaR4oXtMprIJD
Welcome 2 Collegrove,2LdlfTE6xqf2Ez8LPAFZSy
Dope Don't Sell Itself,5IGnGTSdX9jMvEMostmUfu
T.R.U. REALigion (Anniversary Edition),4fu330cC3wvmffXjuDb3f1
So Help Me God!,5RYrgGSMiYXGF8iwj2i1wF
No Face No Case,4ZZTAaaz4zrCL1q3cfTnYt
Rap Or Go To The League,1BR69wIifGZUSimcuTjWVg
Pretty Girls Like Trap Music,5vvvo79z68vWj9yimoygfS
Daniel Son; Necklace Don,4XRo183q0BeXbtJx2d9VWI
COLLEGROVE,56TQNcSoy3eQpyWtNwQnrD
TrapAvelli Tre,0HiyOnSs0O9vptexgk9Bh4
Freebase,6ZdMIC1J0ZOepIyMf4RVQC
B.O.A.T.S. II #METIME (Deluxe),35KyVKa5AMTaOBxSzjSBbK
Based On A T.R.U. Story (Chopped Not Slopped),6ETuqmZ5VU13n8RFn7nC2V
Based On A T.R.U. Story (Deluxe),66PA49HFV9YsfQjUYv3xML
Saks Fifth: The Clearance,2ZtCs3FtupbzjpaB97lnAR
Trapavelli 2 (the Residue),11PIiUkttMo9pzOnrYDV9U
Codeine Cowboy,3YzmrneniVqRVCB6mdNxsp
Me Against the World,7x492U64wqO8v7KqlvPVnk
Trap-a-Velli 2: The Residue,2JW8rnVDxP2jGHb3Clo6Au
Codeine Withdrawal,5oIEPFxgNw7yd4N3SB9CFK
Sunday Again (with 2 Chainz),1b3dLmOwWOyyqsUtT0NrBv
Pops,68C9RgYAybkxqDZzdtt3ak
I Tried,3Ja4ntQD9vre1e1u98MQrK
Big Dog (with That Mexican OT & 2 Chainz),1zS7KTyodkgZ4pMo1okKgE
What Is This,5WrFNgEOuVQllEmmipEHi9
Shake Sum,1S4y4ytrmMWtEctS5ZvCE1
TWITCH (feat. 2 Chainz & Tyga),0SeHcfk87EHPdANkTcB812
Affirmations (Remix),6FVdpIQlb0eu5tdlbgt1DS
See The World (feat. BossMan Dlow),5hEuYRgfjxufbFnb1UuwEM
"I WANNA WIN (from the Short Film ""Red Clay"")",39GdbIA43YHkD02Gih3GjX
"NOT THE SAME (from the Short Film ""Red Clay"")",0fhRq9JoZ8HCkQpgibTVio
"SISTA WIVES (from the Short Film ""Red Clay"")",4tvzXj50dYLuUgyahr39ng
"THE ATL EXPERIENCE (from the Short Film ""Red Clay"")",4qfDfLD8gFUtuJtFyCJskq
The One,2wEbq6iRAEx9f6bkKtVIME
I Been,35A7fWLFHyE36KKAOazele
Bad Choices,4X6ifMiovznIkvjZ4Ti98g
Bad Choices,0g5DyAwuFv4z7WSXnF6sVr
G'Z UP,57JxB3VqttriPa8lF2B7VQ
Boujee Lennons,0bj5GYJ233f81yxrCQQyWx
Come Over (feat. 2 Chainz & Mike WiLL Made-It),5eJiWlOOfkcbQsnYweD0wf
Long Story Short,5Nzk5vGBrgjl9Ll8vk8m2q
Presha,2tnjYrSajrt2nlv2Acf1DP
Get in My Zone,7z1OVNZx15a696i7U1SMbo
River Of Oblivion (U.S. REMIX),3eHSNKgm4xbPFcMZ1uJ5K1
Overdose 2X (feat. 2 Chainz & Nardo Wick),2Z7vbcqL7gssOHeQpjHNiD
2 Step (From the new “House Party” Original Motion Picture Soundtrack),15lrVWXxXVT9GNhdIepIXJ
MASK UP,454KEHch9PxO6WGZlNwIDm
Ain’t No Love (feat. 2 Chainz),4zVXUfWSP8ndHCQUW1a6HI
"In My Face (with 2 Chainz, Saweetie feat. YG)",2uMMOoH30YHKnbg5nVXtMM
Cater,2aVO79fW5JjJv1Ia9IBe79
420 Hits: 2 Chainz,23KfWgc6gIeDuntERMOQ7M
Pop Music,0vKrIJGelC0Rz6R4zI7lsS
Motorola Era,64fJWEf59MjKIvSHdZFhni
Million Dollars Worth of Game (feat. 42 Dugg),0eIUsIe0Bo1gH7gld8lFbg
Rose Gold Stripper Pole (feat. 2 Chainz),14eXE65nvhQnfzBwLIR4Td
Toni Kruger,3qJi9qwpdxbjZMg2Oi1VQD
Bride of Toni,0AhrpKt06oGv6BLwAqPFnE
Touch Down 2 Cause Hell (Bow Bow Bow) Remix (With 2 Chainz & Fredo Bang),5I1K8Jmau20xr03yKhyapx
Top Of The Hill,3ZA2NQcmHISatjcIvSgtsI
Baddest,3ERp6sI91Flu5Onq9me2pV
Dope Boyz & Trap Godz,5KNS1HrBLty7Mp56sAxGHM
Fuck The World (Summer In London) Remix,6tEkLLMLAykcSE9Rq6YaLY
Devil Just Trying to Be Seen,79rVhUXS4oFJDBySdL0LcW
NO TV,6M3SHnGd6dndntqykBbbKU
Dead Man Walking,5v7NpK7CAZ6IDdKiUXCtAl
Virgil Discount,6JHNpgAAcUMfwCDfgFgKpk
Georgia (feat. 2 Chainz),0SH2k800tUvoqPZzOqPxCG
Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO
Hot Wings Are A Girl’s Best Friend,6tq0ROnD9Av4eQi4ijPJ0a
"Kill 'Em With Success (with ScHoolboy Q, 2 Chainz & Mike WiLL Made-It)",0ZqH82yyXnVWqYA58RVhYP
"That's On Me (Remix) [feat. 2 Chainz, T.I., Rich The Kid, Jeezy, Boosie Badazz & Trapboy]",7lssNn3As0DoTJsL2ii0Tv
I Know,5Yr5xVCHPJulC2ToDAOeJe
Bigger Than You feat. Drake & Quavo,3Lh72gPELN4MIUJd3dYN6I
The Play Don’t Care Who Makes It,5C3uZS83u9pXWFEpl47hWb
Alive (with Offset & 2 Chainz),3ZwmW6RFyLF2dey4U87js2
2nd To None (with 2Chainz),2ctIF6UdYd5qGNpi7QUHbK
Wake Up & Cook Up,4LMANShgWEJGRndfFJc6lz
"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",4RTL2dk2qeQL5Udhatt73n
Smartphone,65QrO5TXNzHCVcfTpmWjrp
Good Drank 2.0,1M180UX1mt73TKPgRVnXuZ
Hibachi for Lunch,5tUOzNEZfWrETGesPd75t3
Da Man,2KQE7X3qU8Vyn3Iznk0AaE
MFN Right (Remix),2eBu12ZC09JHybCstaz4vL
Felt Like Cappin,2Pv2t0W3iIJch0SfyaKkLl
BFF (Remix) [feat. Jeezy] - Single,0Jo8AO20wWzCxi0LxpcDJa
Watch Out,1DnLeDyEWJqfJSJVHQaaSo
Get Away (feat. 2 chainz),0lzEW9p0QYuEqTUme0yagV
Hi Jack - Itunes Ringtone,3soUijaoMlnHZHXXXIx9AG
Dey Know - Itunes Ringtone,27bPYFiIuwWucsqjw23BiZ
Light Work,0AvkvmgKvoPFjcGFTtkJXk
Riot (verse),0PivwXxqC9K7D2hHIOJN7z
Undastatement (Verse),6go0aQsZfOZxgEpgF0M2OT
Undastatement (Hook),5N6wZyypXXp9pwX52VILwH
Got 1 (Hook),1DC7apP0gOzG3PZhyGPpor
Spend It (Remix) (feat. T.I.) - Single,0IjBZ8KGFzCpY0Cm0cxzU2
Spend It (Ridin Round & Gettin It) - Single,74juAm0yObcvlLECeFmlhr
Million Dollars Worth of Game,0D5eAvnfCudA1iZtqThilN
GOATED: 2 Chainz,1flpMU4chJqw4EQJ5AicWj
Most Expensivest,2Q3SyMfVZPI03Z7SGjUMIb
More Life,1lXY618HWkwYKJWBRYR4MK
Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC
Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR
LONG.LIVE.A$AP (Deluxe Version),6rzMufuu8sLkIizM4q9c7J
Rodeo,4PWBTB6NYSKQwfo79I3prg
