name,id,artists
Dracula - JENNIE Remix,5yvVYFDUpbnjcnRBgjwTzM,"['5INjqkS1o8h1imAzPqGZBb', '250b0Wlc5Vk0CoUsaCY84M']"
Beauty And A Beat,6QFCMUUq1T2Vf5sFUXcuQ7,"['1uNFoZAHBGtllmzznpCI3s', '0hCNtLu0JehylgoiP8L4Gh']"
Confident,3JsydWaf2Ev4ehaLUjj3SY,"['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']"
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,"['540vIaP2JwjQb9dm3aArA4', '1uNFoZAHBGtllmzznpCI3s']"
"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,"['1Xyo4u8uXC1ZmMpatF05PJ', '250b0Wlc5Vk0CoUsaCY84M']"
"All The Stars (with SZA) - From ""Black Panther: The Album""",3GCdLUSnKSMJhs4Tj6CV3s,"['2YZyLoL8N0Wb9xBt1NhZWg', '7tYKF4w9nC0nq9CsPZTHyP']"
Give Me Everything (feat. Nayer),4QNpBfC0zvjKqPJcyqBy9W,"['0TnOYISbd1XYRBk9myaseg', '21E3waRsmPlU7jZsS13rcj']"
Timeless (feat Playboi Carti),0FIDCNYYjNvPVimz5icugS,"['1Xyo4u8uXC1ZmMpatF05PJ', '699OTQXzgjhIYAHMy9RyPD']"
Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,"['7CajNmpbOovFoOoasH2HaY', '0X2BH1fck6amBIoJhDVmmJ']"
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,"['7dGJo4pcD2V6oG8kP0tJRR', '5pKCCKE2ajJHZ9KAiaK11H']"
Closer,7BKLCZ1jbUBVqRi2FVlTVw,"['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']"
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,"['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']"
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,"['69GGBxA162lTqCwzJG5jLp', '4gzpq5DPGxSnKTe4SA8HAU']"
FATHER (feat. Travis Scott),5pfn68duSmBKo4FhYknOms,"['5K4W6rqBFWDnAN6FQUkS6x', '0Y5tJX1MQlPlqiwlOH1tJY']"
Love Me,2XHzzp1j4IfTNp1FTn7YFg,"['55Aa2cqylxrFIXC767Z865', '3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']"
Smack That,2kQuhkFX7uSVepCD3h29g5,"['0z4gvV4rjIZ9wHck67ucSV', '7dGJo4pcD2V6oG8kP0tJRR']"
Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
APT.,5vNRhkKd0yEAg8suGBpjeY,"['3eVa5w3URK5duf6eyVDbu9', '0du5cEVh5yTK9QJze8zA0C']"
STAY (with Justin Bieber),567e29TDzLwZwfDuEpGTwo,"['2tIP7SsRs7vjIcLrU85W8J', '1uNFoZAHBGtllmzznpCI3s']"
Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,"['5he5w2lnU9x7JFhnwcekXX', '5fMUXHkw8R8eOP2RNVYEZX', '1uNFoZAHBGtllmzznpCI3s']"
